date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,shootout_winner,raw_margin_home,raw_margin_away,margin_home,margin_away,hfa,adj_margin_home,adj_margin_away,match_type,match_type_weight,tier_weight,home_win,away_win,home_confederation,away_confederation,grouped_date_id,unique_game_id
1980-01-06,Sierra Leone,Ghana,2.0,4.0,Friendly,Freetown,Sierra Leone,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,CAF,CAF,1,
1980-01-16,Cyprus,Greece,1.0,1.0,Friendly,Nicosia,Cyprus,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,UEFA,UEFA,2,
1980-01-19,Congo,Ivory Coast,2.0,0.0,Friendly,Brazzaville,Congo,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,3,
1980-01-20,Congo,Ivory Coast,0.0,2.0,Friendly,Brazzaville,Congo,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,CAF,CAF,4,
1980-01-23,Spain,Netherlands,1.0,0.0,Friendly,Vigo,Spain,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,5,
1980-01-26,Nigeria,Liberia,1.0,0.0,Friendly,Lagos,Nigeria,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,6,
1980-01-27,Australia,Czechoslovakia,0.0,4.0,Friendly,Canberra,Australia,False,,-4.0,4.0,-4.0,4.0,0.5,-4.5,4.5,friendly,0.25,1.0,0.0,1.0,AFC,UEFA,7,
1980-01-27,Cameroon,Ivory Coast,1.0,1.0,Friendly,Douala,Cameroon,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CAF,CAF,7,
1980-01-27,Ghana,Tunisia,4.0,1.0,Friendly,Accra,Ghana,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,7,
1980-01-30,Ivory Coast,Tunisia,1.0,1.0,Friendly,Abidjan,Ivory Coast,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CAF,CAF,8,
1980-01-30,Saudi Arabia,South Korea,1.0,3.0,Friendly,Jeddah,Saudi Arabia,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,AFC,AFC,8,
1980-02-01,Congo,Gabon,3.0,0.0,Friendly,Brazzaville,Congo,False,,3.0,-3.0,3.0,-3.0,0.5,2.5,-2.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,9,
1980-02-01,Saudi Arabia,South Korea,0.0,0.0,Friendly,Khobar,Saudi Arabia,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,AFC,AFC,9,
1980-02-02,Nigeria,Cameroon,0.0,0.0,Friendly,Ibadan,Nigeria,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CAF,CAF,10,
1980-02-03,Australia,Czechoslovakia,0.0,5.0,Friendly,Sydney,Australia,False,,-5.0,5.0,-5.0,5.0,0.5,-5.5,5.5,friendly,0.25,1.0,0.0,1.0,AFC,UEFA,11,
1980-02-06,England,Republic of Ireland,2.0,0.0,UEFA Euro qualification,London,England,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,competitive,1.0,1.0,1.0,0.0,UEFA,UEFA,12,
1980-02-09,Australia,Czechoslovakia,2.0,2.0,Friendly,Melbourne,Australia,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,AFC,UEFA,13,
1980-02-09,Gambia,Guinea-Bissau,2.0,0.0,Amílcar Cabral Cup,Banjul,Gambia,False,,2.0,-2.0,2.0,-2.0,0.5,1.5,-1.5,competitive,1.0,1.0,1.0,0.0,CAF,CAF,13,
1980-02-10,Mali,Senegal,1.0,0.0,Amílcar Cabral Cup,Banjul,Gambia,True,,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,competitive,1.0,1.0,1.0,0.0,CAF,CAF,14,
1980-02-11,Guinea-Bissau,Guinea,1.0,2.0,Amílcar Cabral Cup,Banjul,Gambia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,competitive,1.0,1.0,0.0,1.0,CAF,CAF,15,
1980-02-12,Ivory Coast,Morocco,4.0,4.0,Friendly,Abidjan,Ivory Coast,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CAF,CAF,16,
1980-02-12,Mali,Mauritania,0.0,1.0,Amílcar Cabral Cup,Banjul,Gambia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,competitive,1.0,1.0,0.0,1.0,CAF,CAF,16,
1980-02-13,Gambia,Guinea,0.0,0.0,Amílcar Cabral Cup,Banjul,Gambia,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,competitive,1.0,1.0,0.5,0.5,CAF,CAF,17,
1980-02-14,Mauritania,Senegal,1.0,2.0,Amílcar Cabral Cup,Banjul,Gambia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,competitive,1.0,1.0,0.0,1.0,CAF,CAF,18,
1980-02-16,Gambia,Mauritania,2.0,2.0,Amílcar Cabral Cup,Banjul,Gambia,False,Gambia,0.0,-0.0,0.5,-0.5,0.5,0.0,-0.0,competitive,1.0,1.0,1.0,0.0,CAF,CAF,19,1.0
1980-02-16,Guinea,Senegal,1.0,2.0,Amílcar Cabral Cup,Banjul,Gambia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,competitive,1.0,1.0,0.0,1.0,CAF,CAF,19,
1980-02-16,Italy,Romania,2.0,1.0,Friendly,Naples,Italy,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,19,
1980-02-17,Guinea-Bissau,Mali,2.0,4.0,Amílcar Cabral Cup,Banjul,Gambia,True,,-2.0,2.0,-2.0,2.0,0.0,-2.0,2.0,competitive,1.0,1.0,0.0,1.0,CAF,CAF,20,
1980-02-17,Morocco,Poland,1.0,0.0,Friendly,Marrakesh,Morocco,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,UEFA,20,
1980-02-18,Gambia,Senegal,0.0,1.0,Amílcar Cabral Cup,Banjul,Gambia,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,competitive,1.0,1.0,0.0,1.0,CAF,CAF,21,
1980-02-19,Fiji,New Zealand,1.0,1.0,Friendly,Suva,Fiji,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,OFC,OFC,22,
