tournament,year,team,finish
AFC Asian Cup,1980,Kuwait,1
AFC Asian Cup,1980,South Korea,2
AFC Asian Cup,1980,Iran,3
AFC Asian Cup,1984,Saudi Arabia,1
AFC Asian Cup,1984,China PR,2
AFC Asian Cup,1988,Saudi Arabia,1
AFC Asian Cup,1988,South Korea,2
AFC Asian Cup,1988,Iran,3
AFC Asian Cup,1992,China PR,1
AFC Asian Cup,1992,United Arab Emirates,2
AFC Asian Cup,1996,Iran,1
AFC Asian Cup,1996,Kuwait,2
AFC Asian Cup,2000,Japan,1
AFC Asian Cup,2000,Saudi Arabia,2
AFC Asian Cup,2004,Japan,1
AFC Asian Cup,2004,China PR,2
AFC Asian Cup,2004,Iran,3
AFC Asian Cup,2007,Iraq,1
AFC Asian Cup,2007,Saudi Arabia,2
AFC Asian Cup,2007,South Korea,3
AFC Asian Cup,2011,Japan,1
AFC Asian Cup,2011,Australia,2
AFC Asian Cup,2011,South Korea,3
AFC Asian Cup,2015,Australia,1
AFC Asian Cup,2015,South Korea,2
AFC Asian Cup,2015,United Arab Emirates,3
AFC Asian Cup,2019,Qatar,1
AFC Asian Cup,2019,Japan,2
AFC Asian Cup,2024,Qatar,1
AFC Asian Cup,2024,Jordan,2
CONCACAF Nations League,2019,El Salvador,1
CONCACAF Nations League,2019,Dominican Republic,2
CONCACAF Nations League,2019,Dominica,3
CONCACAF Nations League,2021,United States,1
CONCACAF Nations League,2021,Mexico,2
CONCACAF Nations League,2022,Haiti,1
CONCACAF Nations League,2022,Guyana,2
CONCACAF Nations League,2022,Trinidad and Tobago,3
CONCACAF Nations League,2023,Saint Martin,1
CONCACAF Nations League,2023,Bonaire,2
CONCACAF Nations League,2023,Montserrat,3
CONCACAF Nations League,2024,Mexico,1
CONCACAF Nations League,2024,Honduras,2
CONCACAF Nations League,2024,Sint Maarten,3
CONCACAF Nations League,2025,Mexico,1
CONCACAF Nations League,2025,Panama,2
Copa América,1987,Uruguay,1
Copa América,1987,Chile,2
Copa América,1987,Colombia,3
Copa América,1989,Brazil,1
Copa América,1989,Uruguay,2
Copa América,1991,Brazil,1
Copa América,1991,Chile,2
Copa América,1993,Argentina,1
Copa América,1993,Mexico,2
Copa América,1993,Colombia,3
Copa América,1995,Uruguay,1
Copa América,1995,Brazil,2
Copa América,1995,Colombia,3
Copa América,1997,Brazil,1
Copa América,1997,Bolivia,2
Copa América,1997,Mexico,3
Copa América,1999,Brazil,1
Copa América,1999,Uruguay,2
Copa América,1999,Mexico,3
Copa América,2001,Colombia,1
Copa América,2001,Mexico,2
Copa América,2004,Brazil,1
Copa América,2004,Argentina,2
Copa América,2004,Uruguay,3
Copa América,2007,Brazil,1
Copa América,2007,Argentina,2
Copa América,2007,Mexico,3
Copa América,2011,Uruguay,1
Copa América,2011,Paraguay,2
Copa América,2011,Peru,3
Copa América,2015,Chile,1
Copa América,2015,Argentina,2
Copa América,2015,Peru,3
Copa América,2016,Chile,1
Copa América,2016,Argentina,2
Copa América,2016,Colombia,3
Copa América,2019,Brazil,1
Copa América,2019,Peru,2
Copa América,2019,Argentina,3
Copa América,2021,Argentina,1
Copa América,2021,Brazil,2
Copa América,2021,Colombia,3
Copa América,2024,Argentina,1
Copa América,2024,Colombia,2
Copa América,2024,Uruguay,3
FIFA World Cup,1982,Italy,1
FIFA World Cup,1982,Germany,2
FIFA World Cup,1982,Poland,3
FIFA World Cup,1986,Argentina,1
FIFA World Cup,1986,Germany,2
FIFA World Cup,1986,France,3
FIFA World Cup,1990,Germany,1
FIFA World Cup,1990,Argentina,2
FIFA World Cup,1990,Italy,3
FIFA World Cup,1994,Brazil,1
FIFA World Cup,1994,Italy,2
FIFA World Cup,1994,Sweden,3
FIFA World Cup,1998,France,1
FIFA World Cup,1998,Brazil,2
FIFA World Cup,1998,Croatia,3
FIFA World Cup,2002,Brazil,1
FIFA World Cup,2002,Germany,2
FIFA World Cup,2002,Turkey,3
FIFA World Cup,2006,Italy,1
FIFA World Cup,2006,France,2
FIFA World Cup,2006,Germany,3
FIFA World Cup,2010,Spain,1
FIFA World Cup,2010,Netherlands,2
FIFA World Cup,2010,Germany,3
FIFA World Cup,2014,Germany,1
FIFA World Cup,2014,Argentina,2
FIFA World Cup,2014,Netherlands,3
FIFA World Cup,2018,France,1
FIFA World Cup,2018,Croatia,2
FIFA World Cup,2018,Belgium,3
FIFA World Cup,2022,Argentina,1
FIFA World Cup,2022,France,2
FIFA World Cup,2022,Croatia,3
UEFA Euro,1980,Germany,1
UEFA Euro,1980,Belgium,2
UEFA Euro,1980,Czechoslovakia,3
UEFA Euro,1984,France,1
UEFA Euro,1984,Spain,2
UEFA Euro,1988,Netherlands,1
UEFA Euro,1988,Russia,2
UEFA Euro,1992,Denmark,1
UEFA Euro,1992,Germany,2
